epoch,train_loss,val_auroc,val_accuracy,val_f1_weighted,model,fewshot_frac,seed,organ
4,0.9284543097019196,0.6088504242158727,0.559322033898305,0.401252763448784,CLIP +Txt Enc (std),0.05,42,breast
1,1.6428167223930359,0.6646240122465206,0.559322033898305,0.401252763448784,CLIP +Txt Enc (std),0.1,42,breast
2,1.2406150251626968,0.6669401496436381,0.559322033898305,0.401252763448784,CLIP +Txt Enc (std),0.1,42,breast
3,0.9284659028053284,0.6752492535611306,0.5677966101694916,0.4198809433596875,CLIP +Txt Enc (std),0.1,42,breast
4,0.9060468971729279,0.681692387070294,0.576271186440678,0.5275174476570289,CLIP +Txt Enc (std),0.1,42,breast
1,1.3522040843963623,0.48310049930689464,0.5,0.41207066630795447,BERT MLP Only (std),0.01,42,breast
2,1.0471421480178833,0.47727048814050477,0.559322033898305,0.401252763448784,BERT MLP Only (std),0.01,42,breast
3,0.9898452758789062,0.45056825672481815,0.5423728813559322,0.41571568785432816,BERT MLP Only (std),0.01,42,breast
4,1.0463296175003052,0.4544995402345901,0.3644067796610169,0.3379350222254346,BERT MLP Only (std),0.01,42,breast
1,1.6498610377311707,0.514752221292919,0.3135593220338983,0.27028995657655136,BERT MLP Only (std),0.05,42,breast
2,1.0231897830963135,0.48214736652236656,0.423728813559322,0.39036422646952756,BERT MLP Only (std),0.05,42,breast
3,1.1199807524681091,0.49022617862941775,0.559322033898305,0.401252763448784,BERT MLP Only (std),0.05,42,breast
4,1.0842342972755432,0.5165314671024803,0.559322033898305,0.401252763448784,BERT MLP Only (std),0.05,42,breast
1,1.30018749833107,0.5196120278761475,0.2711864406779661,0.11570621468926555,BERT MLP Only (std),0.1,42,breast
2,1.2788450717926025,0.5098554119837343,0.3644067796610169,0.3593072575418188,BERT MLP Only (std),0.1,42,breast
3,1.1343372464179993,0.5140030592792221,0.559322033898305,0.401252763448784,BERT MLP Only (std),0.1,42,breast
4,1.0105373561382294,0.5098991805075691,0.559322033898305,0.401252763448784,BERT MLP Only (std),0.1,42,breast
1,2.1064975261688232,0.4380381315804904,0.1694915254237288,0.04912797838368951,BERT +Txt Enc (std),0.01,42,breast
