average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,1,0.7190952420924939,0.5470085470085471,0.5360585680257811,BERT +Txt Enc (LLM),fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.7190952420924939,0.5470085470085471,0.5360585680257811,BERT +Txt Enc (LLM),fewshot_adaptation,0.05,43
macro,1,0.7226756905457812,0.5641025641025641,0.5713126022913257,BERT +Txt Enc (LLM),fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.7226756905457812,0.5641025641025641,0.5713126022913257,BERT +Txt Enc (LLM),fewshot_adaptation,0.05,44
macro,1,0.6652645588763639,0.46153846153846156,0.46223036223036224,BERT +Txt Enc (LLM),fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.6652645588763639,0.46153846153846156,0.46223036223036224,BERT +Txt Enc (LLM),fewshot_adaptation,0.05,45
macro,1,0.7268729381198599,0.6239316239316239,0.6350489017155683,BERT +Txt Enc (LLM),fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.7268729381198599,0.6239316239316239,0.6350489017155683,BERT +Txt Enc (LLM),fewshot_adaptation,0.05,46
macro,1,0.8043994695557829,0.6581196581196581,0.664597353760235,BERT +Txt Enc (LLM),fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.8043994695557829,0.6581196581196581,0.664597353760235,BERT +Txt Enc (LLM),fewshot_adaptation,0.1,42
macro,1,0.8155616720701974,0.6239316239316239,0.6244973748653466,BERT +Txt Enc (LLM),fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.8155616720701974,0.6239316239316239,0.6244973748653466,BERT +Txt Enc (LLM),fewshot_adaptation,0.1,43
macro,1,0.824325313752742,0.717948717948718,0.7070842751620783,BERT +Txt Enc (LLM),fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.824325313752742,0.717948717948718,0.7070842751620783,BERT +Txt Enc (LLM),fewshot_adaptation,0.1,44
macro,1,0.6932151816399562,0.5470085470085471,0.5400850709445939,BERT +Txt Enc (LLM),fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.6932151816399562,0.5470085470085471,0.5400850709445939,BERT +Txt Enc (LLM),fewshot_adaptation,0.1,45
macro,1,0.7062036388754894,0.5555555555555556,0.5657032832857009,BERT +Txt Enc (LLM),fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.7062036388754894,0.5555555555555556,0.5657032832857009,BERT +Txt Enc (LLM),fewshot_adaptation,0.1,46
