average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
weighted_by_test_n,1,0.633618459606908,0.5641025641025641,0.45316789825460346,CLIP +Txt Enc (LLM),fewshot_e2e,0.05,42
macro,1,0.654846156439907,0.5982905982905983,0.5025558684518221,CLIP +Txt Enc (LLM),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.654846156439907,0.5982905982905983,0.5025558684518221,CLIP +Txt Enc (LLM),fewshot_e2e,0.1,42
macro,1,0.6912015223332819,0.5726495726495726,0.574051008696678,CLIP +Txt Enc (std),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.6912015223332819,0.5726495726495726,0.574051008696678,CLIP +Txt Enc (std),fewshot_e2e,0.01,42
macro,1,0.7850567821249772,0.5811965811965812,0.4435057473731507,CLIP +Txt Enc (std),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.7850567821249772,0.5811965811965812,0.4435057473731507,CLIP +Txt Enc (std),fewshot_e2e,0.05,42
macro,1,0.7879152658407357,0.6324786324786325,0.5771577207243537,CLIP +Txt Enc (std),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.7879152658407357,0.6324786324786325,0.5771577207243537,CLIP +Txt Enc (std),fewshot_e2e,0.1,42
macro,1,0.49418311179898483,0.5641025641025641,0.40689365279529216,CLIP Full (LLM),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.49418311179898483,0.5641025641025641,0.40689365279529216,CLIP Full (LLM),fewshot_e2e,0.01,42
macro,1,0.49279559500964915,0.5641025641025641,0.40689365279529216,CLIP Full (LLM),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.49279559500964915,0.5641025641025641,0.40689365279529216,CLIP Full (LLM),fewshot_e2e,0.05,42
macro,1,0.513337206261002,0.5641025641025641,0.40689365279529216,CLIP Full (LLM),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.513337206261002,0.5641025641025641,0.40689365279529216,CLIP Full (LLM),fewshot_e2e,0.1,42
macro,1,0.5870414335150516,0.5897435897435898,0.4803718790787756,CLIP Full (std),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.5870414335150516,0.5897435897435898,0.4803718790787756,CLIP Full (std),fewshot_e2e,0.01,42
macro,1,0.6216346954010371,0.5470085470085471,0.4764472114125528,CLIP Full (std),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.6216346954010371,0.5470085470085471,0.4764472114125528,CLIP Full (std),fewshot_e2e,0.05,42
macro,1,0.5769896695740725,0.5641025641025641,0.4318706329879514,CLIP Full (std),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.5769896695740725,0.5641025641025641,0.4318706329879514,CLIP Full (std),fewshot_e2e,0.1,42
macro,1,0.6672902017334094,0.5641025641025641,0.40689365279529216,CLIP MLP Only (LLM),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.6672902017334094,0.5641025641025641,0.40689365279529216,CLIP MLP Only (LLM),fewshot_e2e,0.01,42
macro,1,0.572300342192641,0.5982905982905983,0.47984471369086756,CLIP MLP Only (LLM),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.572300342192641,0.5982905982905983,0.47984471369086756,CLIP MLP Only (LLM),fewshot_e2e,0.05,42
macro,1,0.680623138155244,0.6239316239316239,0.5698808234019502,CLIP MLP Only (LLM),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.6806231381552441,0.6239316239316239,0.5698808234019502,CLIP MLP Only (LLM),fewshot_e2e,0.1,42
macro,1,0.5930217912914011,0.5299145299145299,0.45688505594676654,CLIP MLP Only (std),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.5930217912914011,0.5299145299145299,0.45688505594676654,CLIP MLP Only (std),fewshot_e2e,0.01,42
macro,1,0.6300939911151288,0.5641025641025641,0.40689365279529216,CLIP MLP Only (std),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.6300939911151288,0.5641025641025641,0.40689365279529216,CLIP MLP Only (std),fewshot_e2e,0.05,42
macro,1,0.7185951901265281,0.6495726495726496,0.5885934282388754,CLIP MLP Only (std),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.7185951901265281,0.6495726495726496,0.5885934282388754,CLIP MLP Only (std),fewshot_e2e,0.1,42
macro,1,0.7496709271743084,0.5299145299145299,0.5152218152218151,OpenAI CLIP,fewshot_e2e,0.01,42
weighted_by_test_n,1,0.7496709271743084,0.5299145299145299,0.5152218152218151,OpenAI CLIP,fewshot_e2e,0.01,42
macro,1,0.7342305620233273,0.6495726495726496,0.5632266284440198,OpenAI CLIP,fewshot_e2e,0.05,42
weighted_by_test_n,1,0.7342305620233273,0.6495726495726496,0.5632266284440198,OpenAI CLIP,fewshot_e2e,0.05,42
macro,1,0.9226252277797077,0.7435897435897436,0.7157931334202521,OpenAI CLIP,fewshot_e2e,0.1,42
weighted_by_test_n,1,0.9226252277797078,0.7435897435897436,0.7157931334202521,OpenAI CLIP,fewshot_e2e,0.1,42
