organ,n_train,n_val,n_test,n_classes,best_c,val_f1_weighted,accuracy,f1_weighted,auroc,n_eval,model,setting,fewshot_frac,seed
breast,56,118,117,3,0.01,0.7012942989214176,0.7094017094017094,0.7180811925909966,0.8771008300678241,117,BiomedCLIP,fewshot_adaptation,0.1,46
breast,8,118,117,3,0.1,0.41778936694190927,0.48717948717948717,0.4794933252644696,0.6527544339147862,117,CLIP MLP Only (std),fewshot_adaptation,0.01,42
breast,8,118,117,3,1.0,0.4376529068847339,0.5470085470085471,0.5375953118236607,0.6896890202391456,117,CLIP MLP Only (std),fewshot_adaptation,0.01,43
breast,8,118,117,3,1.0,0.4428991487194507,0.5213675213675214,0.5359444477091536,0.63865181001439,117,CLIP MLP Only (std),fewshot_adaptation,0.01,44
breast,8,118,117,3,1.0,0.41366534426975743,0.3418803418803419,0.34786870340061826,0.5030020988319159,117,CLIP MLP Only (std),fewshot_adaptation,0.01,45
breast,8,118,117,3,10.0,0.4492760419522801,0.5299145299145299,0.5456765081511532,0.6599930199056862,117,CLIP MLP Only (std),fewshot_adaptation,0.01,46
breast,29,118,117,3,0.1,0.45717514124293784,0.5982905982905983,0.5966541771999518,0.7397172217569404,117,CLIP MLP Only (std),fewshot_adaptation,0.05,42
breast,29,118,117,3,0.01,0.473908856941248,0.5982905982905983,0.6048276111835433,0.7699546075669366,117,CLIP MLP Only (std),fewshot_adaptation,0.05,43
breast,29,118,117,3,10.0,0.5211902753278626,0.6239316239316239,0.632212369684583,0.7518520458501587,117,CLIP MLP Only (std),fewshot_adaptation,0.05,44
breast,29,118,117,3,10.0,0.4606159750067648,0.4188034188034188,0.42358297607502277,0.6129773163102599,117,CLIP MLP Only (std),fewshot_adaptation,0.05,45
breast,29,118,117,3,0.01,0.4939062411427924,0.6153846153846154,0.6188714714532609,0.7110037652536301,117,CLIP MLP Only (std),fewshot_adaptation,0.05,46
breast,56,118,117,3,1.0,0.5072778506348764,0.6239316239316239,0.6262075856705314,0.7141964460156576,117,CLIP MLP Only (std),fewshot_adaptation,0.1,42
breast,56,118,117,3,0.01,0.49509832870725806,0.6068376068376068,0.6139313335808956,0.7779221143562531,117,CLIP MLP Only (std),fewshot_adaptation,0.1,43
breast,56,118,117,3,10.0,0.555750475273358,0.6666666666666666,0.6590309200603318,0.7925951673399604,117,CLIP MLP Only (std),fewshot_adaptation,0.1,44
breast,56,118,117,3,10.0,0.569721526150425,0.5042735042735043,0.5196858396858397,0.6771954084165172,117,CLIP MLP Only (std),fewshot_adaptation,0.1,45
breast,56,118,117,3,0.1,0.5032146667766125,0.5811965811965812,0.5952833175055398,0.700148053488003,117,CLIP MLP Only (std),fewshot_adaptation,0.1,46
breast,8,118,117,3,0.1,0.39930871507009236,0.5213675213675214,0.5293745749563423,0.6489499718713176,117,CLIP +Img Enc (std),fewshot_adaptation,0.01,42
breast,8,118,117,3,0.01,0.48786164303442253,0.6324786324786325,0.6378846280807066,0.7440868230791152,117,CLIP +Img Enc (std),fewshot_adaptation,0.01,43
breast,8,118,117,3,0.1,0.3885642401103046,0.3418803418803419,0.33054882562756577,0.39942560808194894,117,CLIP +Img Enc (std),fewshot_adaptation,0.01,44
breast,8,118,117,3,1.0,0.4726804389263819,0.36752136752136755,0.3598380675962043,0.4737806417932407,117,CLIP +Img Enc (std),fewshot_adaptation,0.01,45
breast,8,118,117,3,0.01,0.4695309057873538,0.47863247863247865,0.5065527065527066,0.6956765299893988,117,CLIP +Img Enc (std),fewshot_adaptation,0.01,46
breast,29,118,117,3,1.0,0.3543248774445778,0.5042735042735043,0.5086223393240937,0.68047093779068,117,CLIP +Img Enc (std),fewshot_adaptation,0.05,42
breast,29,118,117,3,0.01,0.5232909109562043,0.5897435897435898,0.6052556459796279,0.7167833622009402,117,CLIP +Img Enc (std),fewshot_adaptation,0.05,43
breast,29,118,117,3,0.01,0.5342176578631149,0.41025641025641024,0.45019544944862344,0.6018975212590475,117,CLIP +Img Enc (std),fewshot_adaptation,0.05,44
breast,29,118,117,3,0.1,0.4949158853535276,0.5726495726495726,0.5774655742455386,0.7129300424535847,117,CLIP +Img Enc (std),fewshot_adaptation,0.05,45
breast,29,118,117,3,0.1,0.5037340087018638,0.5726495726495726,0.5943755169561621,0.7662620550513459,117,CLIP +Img Enc (std),fewshot_adaptation,0.05,46
breast,56,118,117,3,1.0,0.48391809172581607,0.5213675213675214,0.5302234971959743,0.701355814647532,117,CLIP +Img Enc (std),fewshot_adaptation,0.1,42
breast,56,118,117,3,10.0,0.48656699534322506,0.5555555555555556,0.5700379692282526,0.7147018423171376,117,CLIP +Img Enc (std),fewshot_adaptation,0.1,43
breast,56,118,117,3,1.0,0.5854090497142906,0.5213675213675214,0.5259009842539996,0.6222688093876935,117,CLIP +Img Enc (std),fewshot_adaptation,0.1,44
breast,56,118,117,3,0.01,0.5770636143517499,0.5811965811965812,0.5752313399372223,0.7537150236925544,117,CLIP +Img Enc (std),fewshot_adaptation,0.1,45
breast,56,118,117,3,0.1,0.48037997536213417,0.5982905982905983,0.6143625578010313,0.790907171604878,117,CLIP +Img Enc (std),fewshot_adaptation,0.1,46
breast,8,118,117,3,0.01,0.40216591102863586,0.46153846153846156,0.4599871863029758,0.707267132003122,117,CLIP +Txt Enc (std),fewshot_adaptation,0.01,42
breast,8,118,117,3,0.01,0.4441465707824054,0.5641025641025641,0.5601546601546602,0.7065867264820506,117,CLIP +Txt Enc (std),fewshot_adaptation,0.01,43
breast,8,118,117,3,10.0,0.5332771416130069,0.6153846153846154,0.6200408387908388,0.7126965372683868,117,CLIP +Txt Enc (std),fewshot_adaptation,0.01,44
breast,8,118,117,3,10.0,0.4398084993681382,0.3418803418803419,0.34236409093551956,0.5262134785952217,117,CLIP +Txt Enc (std),fewshot_adaptation,0.01,45
breast,8,118,117,3,10.0,0.47750187860065124,0.5641025641025641,0.5825993356686214,0.7229469495783573,117,CLIP +Txt Enc (std),fewshot_adaptation,0.01,46
breast,29,118,117,3,0.01,0.5439144306050383,0.6923076923076923,0.6890667904242566,0.822977986550285,117,CLIP +Txt Enc (std),fewshot_adaptation,0.05,42
breast,29,118,117,3,0.1,0.5255976525900616,0.6068376068376068,0.6136539738315581,0.7999215076569922,117,CLIP +Txt Enc (std),fewshot_adaptation,0.05,43
breast,29,118,117,3,0.1,0.6412030110090329,0.6752136752136753,0.6770070207570208,0.8159631480816159,117,CLIP +Txt Enc (std),fewshot_adaptation,0.05,44
