model,setting,fewshot_frac,average_type,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,n_organs_mean
BERT +Txt Enc (std),fewshot_adaptation,0.01,weighted_by_test_n,0.6529233023718624,0.050675123526409384,0.5196581196581197,0.06292363186087506,0.5242344467280964,0.0646622038149837,1.0
BERT +Txt Enc (std),fewshot_adaptation,0.05,macro,0.7005904172963934,0.07562113127711802,0.5623931623931624,0.08598137668348232,0.5626513127658606,0.09172390229320983,1.0
BERT +Txt Enc (std),fewshot_adaptation,0.05,weighted_by_test_n,0.7005904172963934,0.07562113127711807,0.5623931623931624,0.08598137668348232,0.5626513127658606,0.09172390229320983,1.0
BERT +Txt Enc (std),fewshot_adaptation,0.1,macro,0.7349629268469575,0.08842584786354041,0.5931623931623932,0.06853613742471608,0.593486428535455,0.06468492244164523,1.0
BERT +Txt Enc (std),fewshot_adaptation,0.1,weighted_by_test_n,0.7349629268469575,0.08842584786354041,0.5931623931623932,0.06853613742471608,0.593486428535455,0.06468492244164523,1.0
BERT Full (LLM),fewshot_adaptation,0.01,macro,0.5989846885614674,0.049915324286404245,0.4615384615384615,0.03310242176245654,0.46414705293253683,0.025760101408230544,1.0
BERT Full (LLM),fewshot_adaptation,0.01,weighted_by_test_n,0.5989846885614674,0.049915324286404245,0.4615384615384615,0.03310242176245654,0.46414705293253683,0.025760101408230544,1.0
BERT Full (LLM),fewshot_adaptation,0.05,macro,0.6166480573044009,0.05674959189206806,0.4752136752136752,0.037058945963553525,0.4800036137920882,0.03769825472986372,1.0
BERT Full (LLM),fewshot_adaptation,0.05,weighted_by_test_n,0.6166480573044009,0.05674959189206806,0.4752136752136752,0.037058945963553525,0.4800036137920882,0.03769825472986372,1.0
BERT Full (LLM),fewshot_adaptation,0.1,macro,0.6425542172919724,0.04542652853477963,0.5076923076923077,0.040361432318350786,0.5169235499279992,0.043631230902587026,1.0
BERT Full (LLM),fewshot_adaptation,0.1,weighted_by_test_n,0.6425542172919724,0.04542652853477963,0.5076923076923077,0.040361432318350786,0.5169235499279992,0.043631230902587026,1.0
BERT Full (std),fewshot_adaptation,0.01,macro,0.5611292600854485,0.09530485566335703,0.4512820512820513,0.08787222675196496,0.4545928428722756,0.09310133156209238,1.0
BERT Full (std),fewshot_adaptation,0.01,weighted_by_test_n,0.5611292600854484,0.09530485566335704,0.4512820512820513,0.08787222675196496,0.4545928428722756,0.09310133156209238,1.0
BERT Full (std),fewshot_adaptation,0.05,macro,0.6461905280210993,0.053728675458536816,0.5162393162393163,0.05005658278409003,0.5233723090119591,0.05208043779083298,1.0
BERT Full (std),fewshot_adaptation,0.05,weighted_by_test_n,0.6461905280210993,0.05372867545853683,0.5162393162393163,0.05005658278409003,0.5233723090119591,0.05208043779083298,1.0
BERT Full (std),fewshot_adaptation,0.1,macro,0.6408204345865671,0.03514610970515999,0.48888888888888893,0.05247891088208118,0.4995242891203735,0.05080306566164699,1.0
BERT Full (std),fewshot_adaptation,0.1,weighted_by_test_n,0.6408204345865671,0.03514610970516001,0.48888888888888893,0.05247891088208118,0.4995242891203735,0.05080306566164699,1.0
BERT MLP Only (LLM),fewshot_adaptation,0.01,macro,0.6547122151224662,0.07376771449745087,0.5264957264957265,0.08644740381873697,0.5297075418853721,0.09032992845389332,1.0
BERT MLP Only (LLM),fewshot_adaptation,0.01,weighted_by_test_n,0.6547122151224662,0.07376771449745081,0.5264957264957265,0.08644740381873697,0.5297075418853721,0.09032992845389332,1.0
BERT MLP Only (LLM),fewshot_adaptation,0.05,macro,0.6926570159915064,0.048203072000102716,0.5675213675213675,0.04125647311503308,0.5654692473673505,0.04783176241145598,1.0
BERT MLP Only (LLM),fewshot_adaptation,0.05,weighted_by_test_n,0.6926570159915064,0.048203072000102765,0.5675213675213675,0.04125647311503308,0.5654692473673505,0.04783176241145598,1.0
BERT MLP Only (LLM),fewshot_adaptation,0.1,macro,0.7462706895613834,0.05171019908102335,0.5982905982905983,0.05303279335893532,0.6038653644693339,0.0518355795281655,1.0
BERT MLP Only (LLM),fewshot_adaptation,0.1,weighted_by_test_n,0.7462706895613834,0.05171019908102335,0.5982905982905983,0.05303279335893532,0.6038653644693339,0.0518355795281655,1.0
BERT MLP Only (std),fewshot_adaptation,0.01,macro,0.664912800074004,0.06376964412493166,0.5247863247863248,0.07587125135443466,0.5261500261370994,0.07556462671343465,1.0
BERT MLP Only (std),fewshot_adaptation,0.01,weighted_by_test_n,0.664912800074004,0.06376964412493163,0.5247863247863248,0.07587125135443466,0.5261500261370994,0.07556462671343465,1.0
BERT MLP Only (std),fewshot_adaptation,0.05,macro,0.7052885687593621,0.06405305637425776,0.5641025641025641,0.07227151506533232,0.5646370375521228,0.0728879484737211,1.0
BERT MLP Only (std),fewshot_adaptation,0.05,weighted_by_test_n,0.7052885687593621,0.06405305637425776,0.5641025641025641,0.07227151506533232,0.5646370375521228,0.0728879484737211,1.0
BERT MLP Only (std),fewshot_adaptation,0.1,macro,0.7209867094095868,0.05731371609714277,0.5965811965811966,0.06407406774014124,0.5977584448010408,0.06499719593051732,1.0
BERT MLP Only (std),fewshot_adaptation,0.1,weighted_by_test_n,0.7209867094095868,0.05731371609714277,0.5965811965811966,0.06407406774014124,0.5977584448010408,0.06499719593051732,1.0
BiomedCLIP,fewshot_adaptation,0.01,macro,0.790863655908219,0.04854984989367764,0.6324786324786326,0.03418803418803423,0.6268074826796793,0.023411079029931774,1.0
BiomedCLIP,fewshot_adaptation,0.01,weighted_by_test_n,0.790863655908219,0.04854984989367764,0.6324786324786326,0.03418803418803423,0.6268074826796793,0.023411079029931774,1.0
BiomedCLIP,fewshot_adaptation,0.05,macro,0.86465105391269,0.016024995397581128,0.6974358974358974,0.020583922356909885,0.7021653310404294,0.015599730820157915,1.0
BiomedCLIP,fewshot_adaptation,0.05,weighted_by_test_n,0.86465105391269,0.016024995397581128,0.6974358974358974,0.020583922356909885,0.7021653310404294,0.015599730820157915,1.0
BiomedCLIP,fewshot_adaptation,0.1,macro,0.8923465394314716,0.02392891845060472,0.7521367521367521,0.036261886214694755,0.7568544315024586,0.0343395534088706,1.0
BiomedCLIP,fewshot_adaptation,0.1,weighted_by_test_n,0.8923465394314716,0.02392891845060472,0.7521367521367521,0.036261886214694755,0.7568544315024586,0.0343395534088706,1.0
CLIP +Img Enc (LLM),fewshot_adaptation,0.01,macro,0.6778799055173561,0.05446952358204742,0.5435897435897437,0.038980356413645764,0.5434483464675126,0.041936430304972384,1.0
CLIP +Img Enc (LLM),fewshot_adaptation,0.01,weighted_by_test_n,0.6778799055173561,0.05446952358204742,0.5435897435897437,0.038980356413645764,0.5434483464675126,0.041936430304972384,1.0
CLIP +Img Enc (LLM),fewshot_adaptation,0.05,macro,0.7705253032849517,0.041553675331304385,0.6222222222222222,0.03163547952704569,0.6241002055971239,0.034248141697036584,1.0
CLIP +Img Enc (LLM),fewshot_adaptation,0.05,weighted_by_test_n,0.7705253032849517,0.041553675331304385,0.6222222222222222,0.03163547952704569,0.6241002055971239,0.034248141697036584,1.0
CLIP +Img Enc (LLM),fewshot_adaptation,0.1,macro,0.7866455621936063,0.032203200937067265,0.6341880341880342,0.049247385609873295,0.6356575230492835,0.048159595565466326,1.0
CLIP +Img Enc (LLM),fewshot_adaptation,0.1,weighted_by_test_n,0.7866455621936062,0.032203200937067245,0.6341880341880342,0.049247385609873295,0.6356575230492835,0.048159595565466326,1.0
CLIP +Img Enc (std),fewshot_adaptation,0.01,macro,0.5923839149630042,0.14847769196500177,0.4683760683760684,0.11833826419706998,0.4728397605627051,0.12707148484012237,1.0
CLIP +Img Enc (std),fewshot_adaptation,0.01,weighted_by_test_n,0.5923839149630042,0.14847769196500177,0.4683760683760684,0.11833826419706998,0.4728397605627051,0.12707148484012237,1.0
CLIP +Img Enc (std),fewshot_adaptation,0.05,macro,0.6956687837511197,0.06072728097644571,0.5299145299145299,0.07451109305197731,0.5471829051908091,0.06597368733886003,1.0
CLIP +Img Enc (std),fewshot_adaptation,0.05,weighted_by_test_n,0.6956687837511197,0.06072728097644571,0.5299145299145299,0.07451109305197731,0.5471829051908091,0.06597368733886003,1.0
CLIP +Img Enc (std),fewshot_adaptation,0.1,macro,0.716589732329959,0.06331161410135416,0.5555555555555556,0.03471811284032458,0.563151269683296,0.036358536563580436,1.0
CLIP +Img Enc (std),fewshot_adaptation,0.1,weighted_by_test_n,0.716589732329959,0.06331161410135414,0.5555555555555556,0.03471811284032458,0.563151269683296,0.036358536563580436,1.0
CLIP +Txt Enc (LLM),fewshot_adaptation,0.01,macro,0.6336176794166383,0.04622809149934717,0.5145299145299145,0.030459025096077733,0.5221044134387782,0.04218815967316798,1.0
CLIP +Txt Enc (LLM),fewshot_adaptation,0.01,weighted_by_test_n,0.6336176794166383,0.04622809149934717,0.5145299145299145,0.030459025096077733,0.5221044134387782,0.04218815967316798,1.0
CLIP +Txt Enc (LLM),fewshot_adaptation,0.05,macro,0.7000822776153026,0.051419782076521696,0.558974358974359,0.0708938165925734,0.5618406523529277,0.07065366887712711,1.0
CLIP +Txt Enc (LLM),fewshot_adaptation,0.05,weighted_by_test_n,0.7000822776153026,0.051419782076521696,0.558974358974359,0.0708938165925734,0.5618406523529277,0.07065366887712711,1.0
CLIP +Txt Enc (LLM),fewshot_adaptation,0.1,macro,0.7246546794523085,0.06709439964328559,0.5897435897435898,0.06481090123120985,0.5926989451946199,0.05807233584095481,1.0
CLIP +Txt Enc (LLM),fewshot_adaptation,0.1,weighted_by_test_n,0.7246546794523085,0.06709439964328559,0.5897435897435898,0.06481090123120985,0.5926989451946199,0.05807233584095481,1.0
CLIP +Txt Enc (std),fewshot_adaptation,0.01,macro,0.6751421647854277,0.08351071172469231,0.5094017094017094,0.10905393441187405,0.5130292223705232,0.1123079897841908,1.0
CLIP +Txt Enc (std),fewshot_adaptation,0.01,weighted_by_test_n,0.6751421647854277,0.08351071172469231,0.5094017094017094,0.10905393441187405,0.5130292223705232,0.1123079897841908,1.0
CLIP +Txt Enc (std),fewshot_adaptation,0.05,macro,0.7797929987516756,0.055763364738197686,0.6205128205128205,0.08144361880048956,0.6233416333665867,0.07995440598536727,1.0
CLIP +Txt Enc (std),fewshot_adaptation,0.05,weighted_by_test_n,0.7797929987516756,0.055763364738197686,0.6205128205128205,0.08144361880048956,0.6233416333665867,0.07995440598536727,1.0
CLIP +Txt Enc (std),fewshot_adaptation,0.1,macro,0.7726709714622915,0.03842979191882116,0.6324786324786325,0.0519894233358822,0.6375978089720716,0.048168888286524235,1.0
CLIP +Txt Enc (std),fewshot_adaptation,0.1,weighted_by_test_n,0.7726709714622915,0.03842979191882113,0.6324786324786325,0.0519894233358822,0.6375978089720716,0.048168888286524235,1.0
CLIP Full (LLM),fewshot_adaptation,0.01,macro,0.5855768927346782,0.06123903443026913,0.3982905982905983,0.06061751530426374,0.40817804908398314,0.06755688178209313,1.0
CLIP Full (LLM),fewshot_adaptation,0.01,weighted_by_test_n,0.5855768927346782,0.06123903443026913,0.3982905982905983,0.06061751530426374,0.40817804908398314,0.06755688178209313,1.0
CLIP Full (LLM),fewshot_adaptation,0.05,macro,0.6690348969929265,0.03618673738358979,0.5333333333333333,0.04125647311503311,0.5307138183610757,0.046280068453103534,1.0
CLIP Full (LLM),fewshot_adaptation,0.05,weighted_by_test_n,0.6690348969929265,0.0361867373835898,0.5333333333333333,0.04125647311503311,0.5307138183610757,0.046280068453103534,1.0
CLIP Full (LLM),fewshot_adaptation,0.1,macro,0.6997499895950888,0.029114664720910118,0.5521367521367522,0.033431807206167403,0.5534055923798281,0.03636798579909478,1.0
CLIP Full (LLM),fewshot_adaptation,0.1,weighted_by_test_n,0.6997499895950888,0.029114664720910118,0.5521367521367522,0.033431807206167403,0.5534055923798281,0.03636798579909478,1.0
CLIP Full (std),fewshot_adaptation,0.01,macro,0.5331707526271464,0.07826293834102249,0.42905982905982903,0.0831742948766008,0.435832462863792,0.0784604504445214,1.0
CLIP Full (std),fewshot_adaptation,0.01,weighted_by_test_n,0.5331707526271463,0.07826293834102253,0.42905982905982903,0.0831742948766008,0.435832462863792,0.0784604504445214,1.0
CLIP Full (std),fewshot_adaptation,0.05,macro,0.6216072221312888,0.05739122522454918,0.5196581196581197,0.03793562567721735,0.5194897545737992,0.03433689949343021,1.0
CLIP Full (std),fewshot_adaptation,0.05,weighted_by_test_n,0.6216072221312889,0.05739122522454918,0.5196581196581197,0.03793562567721735,0.5194897545737992,0.03433689949343021,1.0
CLIP Full (std),fewshot_adaptation,0.1,macro,0.6433772226892657,0.06114954953162682,0.5247863247863248,0.08343736657686004,0.5373131909190683,0.07403446365205411,1.0
CLIP Full (std),fewshot_adaptation,0.1,weighted_by_test_n,0.6433772226892657,0.06114954953162683,0.5247863247863248,0.08343736657686004,0.5373131909190683,0.07403446365205411,1.0
CLIP MLP Only (LLM),fewshot_adaptation,0.01,macro,0.6853275488629157,0.04686610265614344,0.5555555555555556,0.06280742930213276,0.5661671261176622,0.062270463584710514,1.0
CLIP MLP Only (LLM),fewshot_adaptation,0.01,weighted_by_test_n,0.6853275488629157,0.04686610265614344,0.5555555555555556,0.06280742930213276,0.5661671261176622,0.062270463584710514,1.0
CLIP MLP Only (LLM),fewshot_adaptation,0.05,macro,0.706616897362208,0.07680077287022888,0.5692307692307692,0.09471381317740217,0.5707743158104848,0.0975579855340735,1.0
CLIP MLP Only (LLM),fewshot_adaptation,0.05,weighted_by_test_n,0.706616897362208,0.07680077287022888,0.5692307692307692,0.09471381317740217,0.5707743158104848,0.0975579855340735,1.0
CLIP MLP Only (LLM),fewshot_adaptation,0.1,macro,0.7382319265888839,0.05096250670014048,0.6153846153846154,0.07451109305197735,0.6182337886681689,0.07019264245705789,1.0
CLIP MLP Only (LLM),fewshot_adaptation,0.1,weighted_by_test_n,0.7382319265888839,0.05096250670014048,0.6153846153846154,0.07451109305197735,0.6182337886681689,0.07019264245705789,1.0
CLIP MLP Only (std),fewshot_adaptation,0.01,macro,0.6288180765811847,0.07276067043007883,0.4854700854700855,0.08317429487660082,0.489315659269811,0.08334481630347619,1.0
