model,setting,fewshot_frac,seed,organ,dataset,direction,n_retrieval_pairs,n_train_support,best_val_f1_weighted,R@1,R@5,R@10
CLIP LLM | MLP + image + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.08108108108108109
CLIP LLM | MLP + image + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
CLIP LLM | MLP + image + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
CLIP LLM | MLP + image + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
BERT LLM | MLP heads only,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.11711711711711711
BERT LLM | MLP heads only,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.44342647732478246,0.036036036036036036,0.05405405405405406,0.0990990990990991
BERT LLM | MLP heads only,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
BERT LLM | MLP heads only,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.0990990990990991
BERT LLM | MLP heads only,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
BERT LLM | MLP heads only,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.44342647732478246,0.0,0.009009009009009009,0.06306306306306306
BERT LLM | MLP + image encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.47525468882329236,0.0,0.009009009009009009,0.07207207207207207
BERT LLM | MLP + image encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.47525468882329236,0.009009009009009009,0.036036036036036036,0.08108108108108109
BERT LLM | MLP + image encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.009009009009009009,0.05405405405405406,0.09009009009009009
BERT LLM | MLP + image encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.009009009009009009,0.05405405405405406,0.09009009009009009
