epoch,train_loss,val_auroc,val_accuracy,val_f1_weighted,model,fewshot_frac,seed,organ
4,0.9887729287147522,0.4588469572265868,0.5945945945945946,0.44342647732478246,CLIP standard | MLP heads only,0.01,42,liver
1,0.9156455397605896,0.5902364696346178,0.2702702702702703,0.11500862564692352,CLIP standard | MLP heads only,0.05,42,liver
2,1.0526979863643646,0.5107323232323232,0.5945945945945946,0.44342647732478246,CLIP standard | MLP heads only,0.05,42,liver
3,0.9750891625881195,0.49627057613168724,0.5945945945945946,0.44342647732478246,CLIP standard | MLP heads only,0.05,42,liver
4,1.0201311707496643,0.5808641975308643,0.5945945945945946,0.44342647732478246,CLIP standard | MLP heads only,0.05,42,liver
1,1.1260693222284317,0.5968746103005361,0.5945945945945946,0.44342647732478246,CLIP standard | MLP heads only,0.1,42,liver
2,0.9499973803758621,0.30275049881531363,0.5945945945945946,0.44342647732478246,CLIP standard | MLP heads only,0.1,42,liver
3,0.9608620405197144,0.4795735129068462,0.5945945945945946,0.44342647732478246,CLIP standard | MLP heads only,0.1,42,liver
4,0.9176247417926788,0.6576194039157001,0.5945945945945946,0.44342647732478246,CLIP standard | MLP heads only,0.1,42,liver
1,0.602867603302002,0.8547933034044145,0.7117117117117117,0.6063815658410253,CLIP standard | MLP + image encoder,0.01,42,liver
2,0.9433215856552124,0.7893027497194164,0.6486486486486487,0.585535133491447,CLIP standard | MLP + image encoder,0.01,42,liver
3,0.6256457567214966,0.8579662364384587,0.7207207207207207,0.6550498122487605,CLIP standard | MLP + image encoder,0.01,42,liver
4,0.4029576778411865,0.8811291931662302,0.7387387387387387,0.7015975853185155,CLIP standard | MLP + image encoder,0.01,42,liver
1,0.822757750749588,0.7661078376356154,0.7027027027027027,0.7032886545081667,CLIP standard | MLP + image encoder,0.05,42,liver
2,0.7542032301425934,0.8756952238433721,0.7207207207207207,0.6278559049559398,CLIP standard | MLP + image encoder,0.05,42,liver
3,0.4866100698709488,0.8545976742736002,0.7207207207207207,0.6535821535821537,CLIP standard | MLP + image encoder,0.05,42,liver
4,0.3496011570096016,0.8382575757575758,0.6936936936936937,0.6716241631608376,CLIP standard | MLP + image encoder,0.05,42,liver
1,0.6738445609807968,0.8889434468138172,0.7117117117117117,0.669035128494588,CLIP standard | MLP + image encoder,0.1,42,liver
