epoch,train_loss,val_auroc,val_accuracy,val_f1_weighted,model,fewshot_frac,seed,organ
2,1.0982675552368164,0.49497521511410403,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.01,42,liver
3,1.0975935459136963,0.5803123830901609,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.01,42,liver
4,1.0967810153961182,0.5634917851353036,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.01,42,liver
1,1.098568081855774,0.4812219416386083,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.05,42,liver
2,1.0965390801429749,0.5995658747973562,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.05,42,liver
3,1.0926258563995361,0.5120382061354284,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.05,42,liver
4,1.0882797241210938,0.4709432285821175,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.05,42,liver
1,1.097287118434906,0.5742143658810326,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.1,42,liver
2,1.0895952582359314,0.5375650798104502,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.1,42,liver
3,1.0698057115077972,0.5481368468636988,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.1,42,liver
4,1.005600094795227,0.6031390291806958,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.1,42,liver
1,1.1778743267059326,0.6317394625264996,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.01,42,liver
2,1.043321132659912,0.6901850293053996,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.01,42,liver
3,1.0003986358642578,0.71953485472004,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.01,42,liver
4,0.9940807819366455,0.7761909215612919,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.01,42,liver
1,1.2432318329811096,0.6243492018954983,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.05,42,liver
2,1.0552539229393005,0.6030092592592593,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.05,42,liver
3,1.2736151218414307,0.6005362264621524,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.05,42,liver
4,1.035557746887207,0.714124267365008,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.05,42,liver
1,1.2030669748783112,0.5514442262127448,0.42342342342342343,0.4075045919706114,BERT LLM | MLP heads only,0.1,42,liver
2,1.3944278061389923,0.5402255580496321,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.1,42,liver
3,0.9844534546136856,0.6484895248784138,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.1,42,liver
4,1.1004059314727783,0.7137213181194664,0.5945945945945946,0.44342647732478246,BERT LLM | MLP heads only,0.1,42,liver
1,2.0010077953338623,0.6065999501184687,0.14414414414414414,0.050443076682845575,BERT LLM | MLP + image encoder,0.01,42,liver
2,1.5989165306091309,0.6435645030552438,0.25225225225225223,0.23156594479547318,BERT LLM | MLP + image encoder,0.01,42,liver
3,1.2389805316925049,0.7493351727148023,0.6036036036036037,0.47525468882329236,BERT LLM | MLP + image encoder,0.01,42,liver
4,1.213090419769287,0.7494053186182815,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image encoder,0.01,42,liver
1,2.893837571144104,0.6588337074448185,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image encoder,0.05,42,liver
2,0.9903635084629059,0.6673127883776032,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image encoder,0.05,42,liver
3,1.0187721252441406,0.6058306833769797,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image encoder,0.05,42,liver
4,1.0065428912639618,0.5484123643845867,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image encoder,0.05,42,liver
1,1.4525110721588135,0.714884960718294,0.5855855855855856,0.4775319039230009,BERT LLM | MLP + image encoder,0.1,42,liver
2,1.0602096915245056,0.5734022321985285,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image encoder,0.1,42,liver
3,0.9495372474193573,0.5636464958224218,0.5765765765765766,0.44895558598380764,BERT LLM | MLP + image encoder,0.1,42,liver
4,0.8652277886867523,0.6010950554932036,0.5855855855855856,0.4391891891891892,BERT LLM | MLP + image encoder,0.1,42,liver
1,2.2676615715026855,0.691514683875795,0.5765765765765766,0.47190822089607515,BERT LLM | MLP + text encoder,0.01,42,liver
2,1.7138997316360474,0.6497817683002868,0.2702702702702703,0.11500862564692352,BERT LLM | MLP + text encoder,0.01,42,liver
3,1.085634469985962,0.7315212308267864,0.2702702702702703,0.11500862564692352,BERT LLM | MLP + text encoder,0.01,42,liver
4,0.9982864260673523,0.7422792742237188,0.6216216216216216,0.5638820638820639,BERT LLM | MLP + text encoder,0.01,42,liver
1,2.9786550998687744,0.7244232447936151,0.2702702702702703,0.11500862564692352,BERT LLM | MLP + text encoder,0.05,42,liver
2,0.9335877299308777,0.747623612669909,0.2702702702702703,0.11500862564692352,BERT LLM | MLP + text encoder,0.05,42,liver
3,1.439407765865326,0.7669347798977428,0.2072072072072072,0.1614968814968815,BERT LLM | MLP + text encoder,0.05,42,liver
4,1.1562885642051697,0.7428770732011474,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + text encoder,0.05,42,liver
1,1.6950424909591675,0.7221427235316126,0.4864864864864865,0.47819744214937804,BERT LLM | MLP + text encoder,0.1,42,liver
2,1.0495737195014954,0.7674881531363013,0.5225225225225225,0.5004565376186998,BERT LLM | MLP + text encoder,0.1,42,liver
3,0.9316072463989258,0.8082553934405786,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + text encoder,0.1,42,liver
4,0.9355515241622925,0.8068205200149645,0.6486486486486487,0.5347490347490347,BERT LLM | MLP + text encoder,0.1,42,liver
1,3.377091646194458,0.6184125202643721,0.13513513513513514,0.032175032175032175,BERT LLM | MLP + image + text encoder,0.01,42,liver
2,1.7093660831451416,0.5128031861828158,0.5045045045045045,0.43948519948519954,BERT LLM | MLP + image + text encoder,0.01,42,liver
3,1.3109931945800781,0.28417586357401176,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image + text encoder,0.01,42,liver
4,1.3321866989135742,0.26822468512283326,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image + text encoder,0.01,42,liver
1,3.0068554878234863,0.19459486843746107,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image + text encoder,0.05,42,liver
2,1.5647249817848206,0.2147454483102631,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image + text encoder,0.05,42,liver
3,1.6180280447006226,0.22931397306397305,0.22522522522522523,0.21902421902421904,BERT LLM | MLP + image + text encoder,0.05,42,liver
4,1.0896968245506287,0.27733663798478614,0.4774774774774775,0.4020557791834387,BERT LLM | MLP + image + text encoder,0.05,42,liver
1,1.5469694435596466,0.19137439206883652,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image + text encoder,0.1,42,liver
2,1.0220041424036026,0.20507856341189676,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image + text encoder,0.1,42,liver
3,1.2594780623912811,0.22479345928420003,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image + text encoder,0.1,42,liver
4,1.0271961092948914,0.2203181506422247,0.5945945945945946,0.44342647732478246,BERT LLM | MLP + image + text encoder,0.1,42,liver
1,1.2276136875152588,0.6740358835266242,0.13513513513513514,0.032175032175032175,BERT standard | MLP heads only,0.01,42,liver
2,1.0469696521759033,0.7045010288065843,0.13513513513513514,0.032175032175032175,BERT standard | MLP heads only,0.01,42,liver
3,1.0175280570983887,0.7086217109365257,0.13513513513513514,0.032175032175032175,BERT standard | MLP heads only,0.01,42,liver
4,0.9988207817077637,0.7452760631001372,0.5945945945945946,0.44342647732478246,BERT standard | MLP heads only,0.01,42,liver
1,1.0987320840358734,0.6371812258386332,0.5765765765765766,0.5232571096061706,BERT standard | MLP heads only,0.05,42,liver
2,1.4465974569320679,0.6744060980172092,0.13513513513513514,0.032175032175032175,BERT standard | MLP heads only,0.05,42,liver
3,1.3377951979637146,0.6822265868562165,0.5945945945945946,0.44342647732478246,BERT standard | MLP heads only,0.05,42,liver
