average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,1,0.6156596832522759,0.4864864864864865,0.49924841415386456,BERT standard | MLP + image encoder,fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.6156596832522759,0.4864864864864865,0.49924841415386456,BERT standard | MLP + image encoder,fewshot_adaptation,0.05,43
macro,1,0.6886792305773787,0.5225225225225225,0.5350099133882917,BERT standard | MLP + image encoder,fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.6886792305773787,0.5225225225225225,0.5350099133882917,BERT standard | MLP + image encoder,fewshot_adaptation,0.05,44
macro,1,0.6374711622396806,0.5315315315315315,0.5398569301008326,BERT standard | MLP + image encoder,fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.6374711622396806,0.5315315315315315,0.5398569301008326,BERT standard | MLP + image encoder,fewshot_adaptation,0.05,45
macro,1,0.6538603628881406,0.5045045045045045,0.5221561274192854,BERT standard | MLP + image encoder,fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.6538603628881406,0.5045045045045045,0.5221561274192854,BERT standard | MLP + image encoder,fewshot_adaptation,0.05,46
macro,1,0.6762353473001621,0.6036036036036037,0.6123374587244376,BERT standard | MLP + image encoder,fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.6762353473001621,0.6036036036036037,0.6123374587244376,BERT standard | MLP + image encoder,fewshot_adaptation,0.1,42
macro,1,0.6771347736625515,0.5135135135135135,0.5268265130334095,BERT standard | MLP + image encoder,fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.6771347736625516,0.5135135135135135,0.5268265130334095,BERT standard | MLP + image encoder,fewshot_adaptation,0.1,43
macro,1,0.7126200274348422,0.5585585585585585,0.578127018804985,BERT standard | MLP + image encoder,fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.7126200274348422,0.5585585585585585,0.578127018804985,BERT standard | MLP + image encoder,fewshot_adaptation,0.1,44
macro,1,0.7190929355281206,0.6846846846846847,0.6871042084845536,BERT standard | MLP + image encoder,fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.7190929355281206,0.6846846846846847,0.6871042084845536,BERT standard | MLP + image encoder,fewshot_adaptation,0.1,45
macro,1,0.708905412146153,0.5495495495495496,0.55987100167656,BERT standard | MLP + image encoder,fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.708905412146153,0.5495495495495496,0.55987100167656,BERT standard | MLP + image encoder,fewshot_adaptation,0.1,46
macro,1,0.6676393565282455,0.2972972972972973,0.28171414657901145,BERT standard | MLP + text encoder,fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6676393565282455,0.2972972972972973,0.28171414657901145,BERT standard | MLP + text encoder,fewshot_adaptation,0.01,42
macro,1,0.7090722035166479,0.6306306306306306,0.6085127598641112,BERT standard | MLP + text encoder,fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.7090722035166478,0.6306306306306306,0.6085127598641112,BERT standard | MLP + text encoder,fewshot_adaptation,0.01,43
macro,1,0.5512002743484224,0.3783783783783784,0.40118927177750713,BERT standard | MLP + text encoder,fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.5512002743484224,0.3783783783783784,0.40118927177750713,BERT standard | MLP + text encoder,fewshot_adaptation,0.01,44
macro,1,0.7480405910961466,0.5765765765765766,0.6035325517630877,BERT standard | MLP + text encoder,fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.7480405910961466,0.5765765765765766,0.6035325517630877,BERT standard | MLP + text encoder,fewshot_adaptation,0.01,45
macro,1,0.6534846926050629,0.4954954954954955,0.5232982324587204,BERT standard | MLP + text encoder,fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.6534846926050629,0.4954954954954955,0.5232982324587204,BERT standard | MLP + text encoder,fewshot_adaptation,0.01,46
macro,1,0.7306163486719042,0.6306306306306306,0.650556438791733,BERT standard | MLP + text encoder,fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.7306163486719042,0.6306306306306306,0.650556438791733,BERT standard | MLP + text encoder,fewshot_adaptation,0.05,42
macro,1,0.7431662302032672,0.6036036036036037,0.6036871113206991,BERT standard | MLP + text encoder,fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.7431662302032672,0.6036036036036037,0.6036871113206991,BERT standard | MLP + text encoder,fewshot_adaptation,0.05,43
macro,1,0.7573824666417259,0.5945945945945946,0.6077827827827827,BERT standard | MLP + text encoder,fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.7573824666417259,0.5945945945945946,0.6077827827827827,BERT standard | MLP + text encoder,fewshot_adaptation,0.05,44
macro,1,0.7364189736874923,0.6036036036036037,0.6237938018210674,BERT standard | MLP + text encoder,fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.7364189736874923,0.6036036036036037,0.6237938018210674,BERT standard | MLP + text encoder,fewshot_adaptation,0.05,45
macro,1,0.6800107557052001,0.5765765765765766,0.59261784114841,BERT standard | MLP + text encoder,fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.6800107557052001,0.5765765765765766,0.59261784114841,BERT standard | MLP + text encoder,fewshot_adaptation,0.05,46
macro,1,0.7629863449307893,0.6666666666666666,0.6749381531165212,BERT standard | MLP + text encoder,fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.7629863449307894,0.6666666666666666,0.6749381531165212,BERT standard | MLP + text encoder,fewshot_adaptation,0.1,42
macro,1,0.7942534917071954,0.6306306306306306,0.6185807855099192,BERT standard | MLP + text encoder,fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.7942534917071954,0.6306306306306306,0.6185807855099192,BERT standard | MLP + text encoder,fewshot_adaptation,0.1,43
macro,1,0.8021464646464648,0.7027027027027027,0.6983736983736984,BERT standard | MLP + text encoder,fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.8021464646464647,0.7027027027027027,0.6983736983736984,BERT standard | MLP + text encoder,fewshot_adaptation,0.1,44
