,,R10_mean,R10_mean,R1_mean,R1_mean,R5_mean,R5_mean
dataset,,liver_holdout,liver_holdout,liver_holdout,liver_holdout,liver_holdout,liver_holdout
direction,,I2T,T2I,I2T,T2I,I2T,T2I
model,fewshot_frac,,,,,,
BERT standard | MLP + image + text encoder,0.1,0.0990990990990991,0.09009009009009009,0.018018018018018018,0.009009009009009009,0.018018018018018018,0.02702702702702703
BERT standard | MLP + image encoder,0.01,0.10810810810810811,0.13513513513513514,0.018018018018018018,0.009009009009009009,0.06306306306306306,0.06306306306306306
BERT standard | MLP + image encoder,0.05,0.11711711711711711,0.13513513513513514,0.0,0.018018018018018018,0.018018018018018018,0.08108108108108109
BERT standard | MLP + image encoder,0.1,0.0990990990990991,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.05405405405405406
BERT standard | MLP + text encoder,0.01,0.06306306306306306,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.018018018018018018,0.05405405405405406
BERT standard | MLP + text encoder,0.05,0.09009009009009009,0.16216216216216217,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.08108108108108109
BERT standard | MLP + text encoder,0.1,0.09009009009009009,0.10810810810810811,0.009009009009009009,0.0,0.04504504504504504,0.04504504504504504
BERT standard | MLP heads only,0.01,0.0990990990990991,0.09009009009009009,0.009009009009009009,0.018018018018018018,0.07207207207207207,0.05405405405405406
BERT standard | MLP heads only,0.05,0.08108108108108109,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.04504504504504504
BERT standard | MLP heads only,0.1,0.08108108108108109,0.08108108108108109,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.02702702702702703
BiomedCLIP,0.01,0.10810810810810811,0.10810810810810811,0.009009009009009009,0.009009009009009009,0.05405405405405406,0.05405405405405406
BiomedCLIP,0.05,0.0990990990990991,0.11711711711711711,0.02702702702702703,0.009009009009009009,0.04504504504504504,0.06306306306306306
BiomedCLIP,0.1,0.12612612612612611,0.11711711711711711,0.018018018018018018,0.009009009009009009,0.08108108108108109,0.06306306306306306
CLIP LLM | MLP + image + text encoder,0.01,0.09009009009009009,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.04504504504504504
CLIP LLM | MLP + image + text encoder,0.05,0.08108108108108109,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.04504504504504504
CLIP LLM | MLP + image + text encoder,0.1,0.09009009009009009,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.04504504504504504
CLIP LLM | MLP + image encoder,0.01,0.0990990990990991,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.05405405405405406
CLIP LLM | MLP + image encoder,0.05,0.13513513513513514,0.11711711711711711,0.009009009009009009,0.009009009009009009,0.05405405405405406,0.06306306306306306
CLIP LLM | MLP + image encoder,0.1,0.06306306306306306,0.09009009009009009,0.0,0.0,0.04504504504504504,0.06306306306306306
CLIP LLM | MLP + text encoder,0.01,0.08108108108108109,0.11711711711711711,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.08108108108108109
CLIP LLM | MLP + text encoder,0.05,0.09009009009009009,0.08108108108108109,0.0,0.0,0.04504504504504504,0.05405405405405406
CLIP LLM | MLP + text encoder,0.1,0.09009009009009009,0.09009009009009009,0.009009009009009009,0.0,0.04504504504504504,0.05405405405405406
CLIP LLM | MLP heads only,0.01,0.08108108108108109,0.06306306306306306,0.0,0.009009009009009009,0.036036036036036036,0.02702702702702703
CLIP LLM | MLP heads only,0.05,0.09009009009009009,0.06306306306306306,0.009009009009009009,0.0,0.05405405405405406,0.04504504504504504
CLIP LLM | MLP heads only,0.1,0.08108108108108109,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.02702702702702703
CLIP standard | MLP + image + text encoder,0.01,0.08108108108108109,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.05405405405405406
CLIP standard | MLP + image + text encoder,0.05,0.09009009009009009,0.09009009009009009,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.05405405405405406
CLIP standard | MLP + image + text encoder,0.1,0.0990990990990991,0.08108108108108109,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.04504504504504504
CLIP standard | MLP + image encoder,0.01,0.21621621621621623,0.1891891891891892,0.018018018018018018,0.018018018018018018,0.10810810810810811,0.11711711711711711
CLIP standard | MLP + image encoder,0.05,0.14414414414414414,0.0990990990990991,0.009009009009009009,0.009009009009009009,0.06306306306306306,0.04504504504504504
CLIP standard | MLP + image encoder,0.1,0.1981981981981982,0.11711711711711711,0.02702702702702703,0.036036036036036036,0.09009009009009009,0.07207207207207207
CLIP standard | MLP + text encoder,0.01,0.09009009009009009,0.17117117117117117,0.009009009009009009,0.009009009009009009,0.04504504504504504,0.0990990990990991
CLIP standard | MLP + text encoder,0.05,0.09009009009009009,0.14414414414414414,0.009009009009009009,0.02702702702702703,0.04504504504504504,0.06306306306306306
CLIP standard | MLP + text encoder,0.1,0.0990990990990991,0.13513513513513514,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.08108108108108109
CLIP standard | MLP heads only,0.01,0.09009009009009009,0.11711711711711711,0.009009009009009009,0.009009009009009009,0.05405405405405406,0.036036036036036036
CLIP standard | MLP heads only,0.05,0.09009009009009009,0.09009009009009009,0.009009009009009009,0.0,0.04504504504504504,0.04504504504504504
CLIP standard | MLP heads only,0.1,0.09009009009009009,0.0990990990990991,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.07207207207207207
OpenAI CLIP,0.01,0.14414414414414414,0.11711711711711711,0.009009009009009009,0.009009009009009009,0.05405405405405406,0.05405405405405406
OpenAI CLIP,0.05,0.16216216216216217,0.17117117117117117,0.018018018018018018,0.036036036036036036,0.06306306306306306,0.10810810810810811
