average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
weighted_by_test_n,3,0.8858884179179882,0.75,0.7507914246499845,MLP + image encoder,fewshot_adaptation,0.1,45
macro,3,0.8901081184970311,0.7190979563072585,0.72414869135625,MLP + image encoder,fewshot_adaptation,0.1,46
weighted_by_test_n,3,0.8834993333862812,0.7171052631578947,0.7237751806578622,MLP + image encoder,fewshot_adaptation,0.1,46
macro,3,0.7757002722319583,0.58907681465821,0.6043081985999624,MLP + text encoder,fewshot_adaptation,0.01,42
weighted_by_test_n,3,0.7685572886241101,0.5773026315789473,0.5963812493445755,MLP + text encoder,fewshot_adaptation,0.01,42
macro,3,0.7099462920848431,0.5262609483539715,0.5342257020083744,MLP + text encoder,fewshot_adaptation,0.01,43
weighted_by_test_n,3,0.668191670949215,0.5,0.5002806879166551,MLP + text encoder,fewshot_adaptation,0.01,43
macro,3,0.7221521791187543,0.583861874559549,0.5821534687624857,MLP + text encoder,fewshot_adaptation,0.01,44
weighted_by_test_n,3,0.7311470114933935,0.5756578947368421,0.5841838091599609,MLP + text encoder,fewshot_adaptation,0.01,44
macro,3,0.7498834774087544,0.5929125138427463,0.6011966564741391,MLP + text encoder,fewshot_adaptation,0.01,45
weighted_by_test_n,3,0.7385843965838255,0.59375,0.5997995211558171,MLP + text encoder,fewshot_adaptation,0.01,45
macro,3,0.7615509636652416,0.605959931541327,0.6167945980483135,MLP + text encoder,fewshot_adaptation,0.01,46
weighted_by_test_n,3,0.7517442320175106,0.5888157894736842,0.5973947048516831,MLP + text encoder,fewshot_adaptation,0.01,46
macro,3,0.7366483977511376,0.590541628913722,0.5988074092242927,MLP + text encoder,fewshot_adaptation,0.05,42
weighted_by_test_n,3,0.7297113425590466,0.5855263157894737,0.5924960840069285,MLP + text encoder,fewshot_adaptation,0.05,42
macro,3,0.7868897224668006,0.611897211315816,0.6201375228924064,MLP + text encoder,fewshot_adaptation,0.05,43
weighted_by_test_n,3,0.7763550196228182,0.5921052631578947,0.6032698911689173,MLP + text encoder,fewshot_adaptation,0.05,43
macro,3,0.7715826555414517,0.614557535487768,0.6260215059111994,MLP + text encoder,fewshot_adaptation,0.05,44
weighted_by_test_n,3,0.764591702598247,0.6069078947368421,0.6197406417043854,MLP + text encoder,fewshot_adaptation,0.05,44
macro,3,0.7908614833147434,0.6474151817175072,0.6446971658126192,MLP + text encoder,fewshot_adaptation,0.05,45
weighted_by_test_n,3,0.7760327028106063,0.6134868421052632,0.6163535202340882,MLP + text encoder,fewshot_adaptation,0.05,45
macro,3,0.7692299133333121,0.6228027786167322,0.6285094403327558,MLP + text encoder,fewshot_adaptation,0.05,46
weighted_by_test_n,3,0.7486708733131257,0.6069078947368421,0.6097890269054536,MLP + text encoder,fewshot_adaptation,0.05,46
macro,3,0.7812816766588981,0.6330891976240812,0.635416467477954,MLP + text encoder,fewshot_adaptation,0.1,42
weighted_by_test_n,3,0.7662915769836923,0.6085526315789473,0.6119995004235828,MLP + text encoder,fewshot_adaptation,0.1,42
macro,3,0.7894087223112559,0.632162992046713,0.6383955606256446,MLP + text encoder,fewshot_adaptation,0.1,43
weighted_by_test_n,3,0.7794535276578501,0.6200657894736842,0.6262619133459735,MLP + text encoder,fewshot_adaptation,0.1,43
macro,3,0.7803976650992465,0.6012408134501158,0.6161127752190616,MLP + text encoder,fewshot_adaptation,0.1,44
weighted_by_test_n,3,0.7718175237732592,0.6036184210526315,0.619455453863819,MLP + text encoder,fewshot_adaptation,0.1,44
macro,3,0.7935831092086816,0.6489630524514245,0.6540529462075414,MLP + text encoder,fewshot_adaptation,0.1,45
weighted_by_test_n,3,0.7835717746823366,0.6282894736842105,0.6366404018667254,MLP + text encoder,fewshot_adaptation,0.1,45
macro,3,0.7807740574569327,0.5785638779824827,0.5941700532278275,MLP + text encoder,fewshot_adaptation,0.1,46
weighted_by_test_n,3,0.7713635103520132,0.5773026315789473,0.5966017718446702,MLP + text encoder,fewshot_adaptation,0.1,46
macro,3,0.7453952166569318,0.558257827443874,0.5704574167986903,MLP heads only,fewshot_adaptation,0.01,42
weighted_by_test_n,3,0.7323592257115913,0.5493421052631579,0.5638566444354502,MLP heads only,fewshot_adaptation,0.01,42
macro,3,0.6823376325704009,0.5098510017114668,0.5215967648093623,MLP heads only,fewshot_adaptation,0.01,43
weighted_by_test_n,3,0.6417370331044082,0.48026315789473684,0.48438896826710626,MLP heads only,fewshot_adaptation,0.01,43
macro,3,0.7117669402011303,0.5884375314607873,0.5825901081114077,MLP heads only,fewshot_adaptation,0.01,44
weighted_by_test_n,3,0.7127234819668241,0.5723684210526315,0.5722069469673571,MLP heads only,fewshot_adaptation,0.01,44
macro,3,0.6903970660643449,0.5672681969193597,0.5710288713640282,MLP heads only,fewshot_adaptation,0.01,45
weighted_by_test_n,3,0.6854935196162162,0.5707236842105263,0.5712477863019908,MLP heads only,fewshot_adaptation,0.01,45
macro,3,0.7153103313139563,0.5971358099265077,0.5873007105410549,MLP heads only,fewshot_adaptation,0.01,46
weighted_by_test_n,3,0.6843467224101943,0.5723684210526315,0.5589908104154996,MLP heads only,fewshot_adaptation,0.01,46
macro,3,0.708772010238179,0.5524841437632135,0.5609502673282675,MLP heads only,fewshot_adaptation,0.05,42
weighted_by_test_n,3,0.6817876236780357,0.5296052631578947,0.5357129924687876,MLP heads only,fewshot_adaptation,0.05,42
macro,3,0.7699431168962941,0.6128057988523105,0.6147165715306687,MLP heads only,fewshot_adaptation,0.05,43
weighted_by_test_n,3,0.7464197409104256,0.6052631578947368,0.6060462957510563,MLP heads only,fewshot_adaptation,0.05,43
