model,setting,fewshot_frac,organ,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,n_train_mean,n_test_mean,n_classes_mean
MLP + text encoder,fewshot_adaptation,0.01,thyroid,0.7134339898839259,0.06709986133282267,0.5476744186046512,0.05141323481263754,0.5566955048970665,0.06296163030580086,18.0,344.0,3.0
MLP + text encoder,fewshot_adaptation,0.05,breast,0.7664442185240392,0.02851767844135087,0.6064935064935064,0.04958080303589885,0.6090462631913569,0.04623077572016156,37.0,154.0,3.0
MLP + text encoder,fewshot_adaptation,0.05,liver,0.8058778432966746,0.024541833261160658,0.6690909090909092,0.03613564893518505,0.6752461024196642,0.024137963885690387,27.0,110.0,3.0
MLP + text encoder,fewshot_adaptation,0.05,thyroid,0.7408052416237534,0.02197137055463577,0.5767441860465117,0.015464460556128382,0.5866114608929429,0.015806261916955663,81.0,344.0,3.0
MLP + text encoder,fewshot_adaptation,0.1,breast,0.7954508943427157,0.02868196252934113,0.612987012987013,0.03858039162990374,0.6163563690483217,0.036219365043889756,73.0,154.0,3.0
MLP + text encoder,fewshot_adaptation,0.1,liver,0.8041900830050182,0.034779774189166876,0.6527272727272727,0.09820706746041016,0.6613050296690255,0.08813119110830533,53.0,110.0,3.0
MLP + text encoder,fewshot_adaptation,0.1,thyroid,0.7556261610932751,0.012366435718160294,0.5906976744186047,0.018200553305230845,0.6052272829374703,0.015355403606144877,161.0,344.0,3.0
MLP heads only,fewshot_adaptation,0.01,breast,0.6939680614136764,0.06840136466965673,0.535064935064935,0.05287325450862929,0.5348903227450587,0.039619748254142384,10.0,154.0,3.0
MLP heads only,fewshot_adaptation,0.01,liver,0.7672947768321144,0.02898246956877864,0.6272727272727272,0.02226808857075616,0.6350965861753689,0.014711766679680209,7.0,110.0,3.0
MLP heads only,fewshot_adaptation,0.01,thyroid,0.6658614738382678,0.06235810281782611,0.530232558139535,0.05728293380351526,0.5297974140542987,0.06319561617482806,18.0,344.0,3.0
MLP heads only,fewshot_adaptation,0.05,breast,0.7319030682153851,0.02868304915465563,0.5727272727272728,0.048462618589728036,0.5758443431906205,0.04308638476708324,37.0,154.0,3.0
MLP heads only,fewshot_adaptation,0.05,liver,0.8125633565568631,0.019686019609873883,0.6872727272727273,0.030559520570857476,0.6935654851894281,0.02447717384177867,27.0,110.0,3.0
MLP heads only,fewshot_adaptation,0.05,thyroid,0.7125632805785294,0.04398723910069716,0.5680232558139535,0.039624556305555204,0.5750325562089784,0.04122575241568407,81.0,344.0,3.0
MLP heads only,fewshot_adaptation,0.1,breast,0.7812560277080445,0.01734762507641638,0.5844155844155845,0.037018682633088905,0.5880728745235134,0.035311364085021606,73.0,154.0,3.0
MLP heads only,fewshot_adaptation,0.1,liver,0.799883954429409,0.039036461005500664,0.6454545454545454,0.09403709484353279,0.6559704296079928,0.0808092354777022,53.0,110.0,3.0
MLP heads only,fewshot_adaptation,0.1,thyroid,0.7259369191993411,0.029721826775830885,0.5761627906976744,0.014592907439547794,0.5886530102558611,0.015432272065237933,161.0,344.0,3.0
OpenAI CLIP,fewshot_adaptation,0.01,breast,0.7181873713549618,0.0800049661847261,0.5493506493506494,0.05962015029162614,0.5501061325873102,0.06601412561650134,10.0,154.0,3.0
OpenAI CLIP,fewshot_adaptation,0.01,liver,0.6703205119195379,0.11533477929676657,0.5636363636363637,0.09812287793146773,0.5713468409696152,0.07147994489799844,7.0,110.0,3.0
OpenAI CLIP,fewshot_adaptation,0.01,thyroid,0.6563452573280849,0.02690681698693527,0.5145348837209303,0.033208312961615874,0.5076347577720303,0.03286310454753393,18.0,344.0,3.0
OpenAI CLIP,fewshot_adaptation,0.05,breast,0.7841655127917144,0.016647630301855513,0.6246753246753247,0.022211209579853335,0.6268379663669473,0.017092364330761035,37.0,154.0,3.0
OpenAI CLIP,fewshot_adaptation,0.05,liver,0.7089826974973079,0.05875387346915696,0.5963636363636364,0.038889544793104414,0.5928584241266206,0.04414908041201006,27.0,110.0,3.0
OpenAI CLIP,fewshot_adaptation,0.05,thyroid,0.6777041726378317,0.037835033876149324,0.5383720930232558,0.039985462474533495,0.5401873092903398,0.038742932117235375,81.0,344.0,3.0
OpenAI CLIP,fewshot_adaptation,0.1,breast,0.8304865257050287,0.024489808365628297,0.6766233766233766,0.029898349177198257,0.6802955605433123,0.029958387135064345,73.0,154.0,3.0
OpenAI CLIP,fewshot_adaptation,0.1,liver,0.772443204342555,0.020096150962425577,0.6218181818181818,0.040959564822068355,0.6327109250240234,0.02859793187628301,53.0,110.0,3.0
OpenAI CLIP,fewshot_adaptation,0.1,thyroid,0.6919012724100588,0.022730310566926173,0.563953488372093,0.02703644656648008,0.565227827661191,0.0268470078907432,161.0,344.0,3.0
